model,seed,f1_macro,roc_auc,auprc
CircMAC,1,0.7432679913671912,0.8943195189798435,0.5111363862748012
CircMAC,2,0.7440314637184304,0.8895204777408565,0.5122123652585793
CircMAC,3,0.74949261475451,0.9006712885168086,0.5313240854630275
RNABert,1,0.5946867165500483,0.7257513000813528,0.26319587705960673
RNABert,2,0.5998757504186337,0.726335446572065,0.2624361513418093
RNABert,3,0.5944990897733577,0.7274858181185758,0.2595901063428292
RNAErnie,1,0.5864573460067648,0.6991807174324375,0.21988145662714811
RNAErnie,2,0.5910850915607967,0.7057136625595566,0.2326372647353231
RNAErnie,3,0.5891110632805894,0.7066822585848865,0.2247554896209936
RNA-FM,1,0.637763466305493,0.7455399568604285,0.29295680994470935
RNA-FM,2,0.6408422817821753,0.7537119264224483,0.3082244134455821
RNA-FM,3,0.6346006975737142,0.7442999503525363,0.28918416677944503
RNA-MSM,1,0.6320788511099421,0.7396947551031763,0.2878694636750403
RNA-MSM,2,0.6330170864808001,0.7367520664174305,0.2873565227859771
RNA-MSM,3,0.6248018737309734,0.7231574605270348,0.2743958956770094
