model,group,seed,f1_macro
Full,full,1,0.7452701810689789
Full,full,2,0.744805680357145
Full,full,3,0.7471548108933627
w/o Attn,remove,1,0.7400961513213677
w/o Attn,remove,2,0.7398844699554996
w/o Attn,remove,3,0.7464783305906846
w/o Conv,remove,1,0.7024340808914025
w/o Conv,remove,2,0.688990847694182
w/o Conv,remove,3,0.7012808676781809
w/o Mamba,remove,1,0.6784861251447004
w/o Mamba,remove,2,0.6810828273371482
w/o Mamba,remove,3,0.677908106135364
Mamba Only,single,1,0.7068549280867362
Mamba Only,single,2,0.707005122677752
Mamba Only,single,3,0.7087541994244257
CNN Only,single,1,0.675720377205071
CNN Only,single,2,0.67456818947883
CNN Only,single,3,0.6733891083758208
Attn Only,single,1,0.6295329299972924
Attn Only,single,2,0.6339950445408258
Attn Only,single,3,0.6330514731088954
