model,group,seed,f1_macro,roc_auc,auprc,f1_pos,is_best
Cross-Attn,interaction,1,0.561418,0.715109,0.130472,0.180623,True
Cross-Attn,interaction,2,0.559642,0.754566,0.163398,0.15504,True
Cross-Attn,interaction,3,0.546227,0.693546,0.135278,0.127123,True
Concat,interaction,1,0.561402,0.75754,0.170405,0.157853,False
Concat,interaction,2,0.569075,0.710783,0.130311,0.197264,False
Concat,interaction,3,0.579514,0.65965,0.133963,0.209756,False
Elementwise,interaction,1,0.531172,0.576531,0.081194,0.120574,False
Elementwise,interaction,2,0.388817,0.356152,0.041649,0.059551,False
Elementwise,interaction,3,0.553459,0.569591,0.09776,0.157015,False
Conv1D,head,1,0.561418,0.715109,0.130472,0.180623,True
Conv1D,head,2,0.559642,0.754566,0.163398,0.15504,True
Conv1D,head,3,0.546227,0.693546,0.135278,0.127123,True
Linear,head,1,0.595319,0.659142,0.160315,0.239274,False
Linear,head,2,0.589161,0.761406,0.173978,0.254951,False
Linear,head,3,0.493132,0.352951,0.042736,0.018826,False
